sample_id,gold,prediction,prediction_arabic_only,correct,failed_label,score,threshold,predicted_failed
arabic_onetoken_0000,على,على,على,1,0,0.0047486597,0.0026862919,1
arabic_onetoken_0001,كان,كان,كان,1,0,0.0116165569,0.0026862919,1
arabic_onetoken_0002,هذه,هذه,هذه,1,0,-0.0063723288,0.0026862919,0
arabic_onetoken_0003,بعد,بعد,بعد,1,0,-0.0034642508,0.0026862919,0
arabic_onetoken_0004,عام,عام,عام,1,0,0.0005891873,0.0026862919,0
arabic_onetoken_0005,ذلك,ذلك,ذلك,1,0,-0.0008433070,0.0026862919,0
arabic_onetoken_0006,بين,بين,بين,1,0,0.0011101048,0.0026862919,0
arabic_onetoken_0007,غير,غير,غير,1,0,-0.0077091237,0.0026862919,0
arabic_onetoken_0008,تكون,تكون,تكون,1,0,0.0012670299,0.0026862919,0
arabic_onetoken_0009,أكثر,أكثر,أكثر,1,0,-0.0061946730,0.0026862919,0
arabic_onetoken_0010,منذ,منذ,منذ,1,0,-0.0036422284,0.0026862919,0
arabic_onetoken_0011,شركة,شركة,شركة,1,0,-0.0107782073,0.0026862919,0
arabic_onetoken_0012,مدينة,مدينة,مدينة,1,0,-0.0075158086,0.0026862919,0
arabic_onetoken_0013,قبل,قبل,قبل,1,0,-0.0019174935,0.0026862919,0
arabic_onetoken_0014,سنة,سنة,سنة,1,0,-0.0038394528,0.0026862919,0
arabic_onetoken_0015,دولة,دولة,دولة,1,0,-0.0010862639,0.0026862919,0
arabic_onetoken_0016,خارج,خاج,خاج,0,1,0.0034726392,0.0026862919,1
arabic_onetoken_0017,مثل,مثل,مثل,1,0,-0.0005847472,0.0026862919,0
arabic_onetoken_0018,مكان,مكان,مكان,1,0,-0.0030462006,0.0026862919,0
arabic_onetoken_0019,سوف,سوف,سوف,1,0,-0.0006657252,0.0026862919,0
arabic_onetoken_0020,آخر,آخر,آخر,1,0,0.0018627336,0.0026862919,0
arabic_onetoken_0021,عبر,عبر,عبر,1,0,0.0054478794,0.0026862919,1
arabic_onetoken_0022,تلك,تلك,تلك,1,0,0.0015629972,0.0026862919,0
arabic_onetoken_0023,جميع,جميع,جميع,1,0,-0.0114150755,0.0026862919,0
arabic_onetoken_0024,يوم,يوم,يوم,1,0,0.0005836934,0.0026862919,0
arabic_onetoken_0025,فقد,فَقْد,فقد,1,0,0.0032825163,0.0026862919,1
arabic_onetoken_0026,قال,قال,قال,1,0,0.0107752420,0.0026862919,1
arabic_onetoken_0027,شهر,شهر,شهر,1,0,0.0006386666,0.0026862919,0
arabic_onetoken_0028,شخص,شخص,شخص,1,0,-0.0070400815,0.0026862919,0
arabic_onetoken_0029,عدد,عدد,عدد,1,0,-0.0055091581,0.0026862919,0
arabic_onetoken_0030,ميل,ميل,ميل,1,0,0.0072673848,0.0026862919,1
